(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=pOhcMltk_5I')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=C5y2WsY-OTc')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=TOvx_IFEN8Y')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=Am8fgwK_UDA')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=8HnAE7l8YPs')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=HoOgirZSqWA')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=awjxMpP3Wh8')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=RG5Z2fPYN5Y')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=d3Qc8nSmftM')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=-4DewR_ccE4')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=95GqQHAPxxk')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=TdYOkqdSaMo')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=sWY4a9es-eM')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=CS4SIEhHjak')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=HumtEuYofpQ')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=etUFB7lCYK4')
(7497, 'AAJ01502_chylcl', '藝術之多元呈現(教材課程) - 林麗卿', 'http://copyright.sao.stu.edu.tw/')
(7497, 'AAJ01502_chylcl', '藝術之多元呈現(教材課程) - 林麗卿', 'https://www.youtube.com/watch?v=qXbbxBiwn_Q&feature=player_detailpage&list=PLUFnKAdohI4ZkwnSWw-7ZYeH2gzrP4jsI')
(7497, 'AAJ01502_chylcl', '藝術之多元呈現(教材課程) - 林麗卿', 'https://www.youtube.com/watch?list=PLUFnKAdohI4ZkwnSWw-7ZYeH2gzrP4jsI&v=UEDIy_sJBqQ&feature=player_detailpage')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1q1_nKI3jSLXmiilO_l_cXIJ9z8G1PO6U/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1DfYF6i1xDjxTEoKhESYs8L-PQF5hi0HY/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1WCNo8nml0IKkemgLakjZI_8LInbrOX_l/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/18o9Iia2M4Q-3aZPOuZzmIvM9N9DK93BL/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1iRZ1vZ-IJzIiV704pnzMpoBBqaH2vmW-/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1ffKFOyTSuA6AxszOHX3RjT9aH_EkVFr2/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/16jKvHy3bGqpNoVsuOXhfhz6q88yOrM-a/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1t_i8yaPEbV3mD2por41LRzZmBE6cywm7/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1G10qVgTwNxJlp9jvq1P5Q4Gi4dqlNFC0/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1cwZU6eoj3PtxIkrGj8cs-jYUSe15YP_c/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/19tiHWFxpoj_3PpVIk_qurw364PZGUOMq/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/10YuCKRmSg74izKwQTjYD06gCtTI95T_j/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1ssJZEKlvleBzYN26ePJ7A7QU2TD_zXrW/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1XfvKIHig5dpjDsiMSue6HiZuFw1lt_MI/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1UCC8WYbQfn_A2JXOgR0kuTkvuFOPV899/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1uMH18pr-ywR6f5d0xEndbzcubLza14PF/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1nDjNXv2f9DETEp_E_tdHYbLSqgmX2KD2/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1Zk3C3_Igx6SqssZw6X10OFmlQ4zdxm9D/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/194l4H8iPyrgshC27YKI6ewV6Oey_Dd39/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/10Itdiv5rpt0OV4UrYmTnFsDU6Kmrnrog/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1AMkD9FLOo8D-kHEb5VVuNY_ydhSBCN1f/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1dNBPVCsi3HOgE8pjOqgZIppJXIzxPoNL/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1dNBPVCsi3HOgE8pjOqgZIppJXIzxPoNL/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1Y7W4R5wxtL1LjihwCn_3-sMEhtRA4mgs/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1csxRoyPwoJ-X5w0uBxzQBy1a_rmpOoxw/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1JuXj_s-zwWzDpwHl2QvsO_X9kpM8_EYy/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1aXJbGn9HKTeM6sWCiOUob5lQNp8M5w02/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1GsyStwhPzOr3F_H-1pg9VImyBRZ-O4_e/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1fREGdYvJlqYLMYuERDkQor2QfuaCvPZM/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1LNDgJfT8NvWE0t3Ot_CwDYMyHNQpjsKP/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1JKaXkvNh1PhFqKRNB4zg64Rk3xJtrvvV/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1b_GNOr0Un5ntC6qPYjUNCiYFvGRzNbnd/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1YT82B48i81KFJqQkRgkQARkEnB71YoCC/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1em2ZdXiiHeLgRf2xeiPcR8OxPfQdpaRX/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1IDH2YYk0ugrmzIuTG27u6XvsfLqhUlsY/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1K3qNNedLb78GPjqSB6xbDRDzahCEziEw/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1zlxo_SzsRG31S7vCozhNL6v_cGtcUL8G/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1hZnKrCK2uaVaXTK_PgigP6rOMtNuH5kY/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1eUXg2V0gwKpXujsCtLrH_umOFOBUIREN/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1QyoCXx4pRsfQCwynA-t5UEHZGQB6DVfD/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1oPgasrJYt7nmX3PTFamrCv6AAvfDcrG-/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1EOqh_URUIZuEikNjphPJKWLU5nrT8Atp/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1qK898l4iQY_elfJlwVKD0qjiT-H-2aIA/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/11mTDIMjK_Pmxzhocnqr9IoDsNvsb3fsq/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1xTgTlvYhCCeuyK4VIjg0OzNy-klhgOr6/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1zCn19v8gxLwQFVrg5gFftnuXS1Cuac6Y/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1M2AUto40dj-4QMxWiAc6gkqnWfnFFVhm/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1C_JqfQFVlUkYOC0JWDtQMFoupGJy2Nk-/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1sGxPhw6mk3B_ZKJcX3oA7hUHfdWi-4hM/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1A_LP5SAU3OO2vIzAxpe2hwfgC92X2qtR/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1zqDdHRhqrK1hby4brWDGfaYCfCOhfNeK/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1DJ1dPQM_xueotHnONtn_tvaJBlAj6heS/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1atjn0j7l2ydtze5mBIemOpF9dvMZNv2t/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1gZtQK8LpkVIiMi1cBiDOqkMTmfC69XNM/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/1wIuR4yC8n_BQLIMntIQmzAN8muAmu-W3/preview')
(6053, 'AAJ01402_miketops', '民主與法治(教材課程) - 胡傳興', 'https://drive.google.com/file/d/16xFOyjNE-2Aj7rpYQTli4kxBwXQhFWWn/preview')
